D058165	22q11 Deletion Syndrome
D054988	Idiopathic Interstitial Pneumonias
C544351	Idiopathic orthostatic hypotension
D054990	Idiopathic Pulmonary Fibrosis
C536281	idiopathic pulmonary hemosiderosis
C536285	Iminoglycinuria
D007184	Incontinentia Pigmenti
C535523	Infantile onset spinocerebellar ataxia
D034062	Insomnia, Fatal Familial
D007340	Insulinoma
C535530	Interferon gamma, receptor 1, deficiency
C531849	Intestinal lipophagic granulomatosis
D044483	Intestinal Polyposis
D002538	Intracranial Arteriovenous Malformations
C535932	Intrahepatic Cholestasis of Pregnancy
D057129	Iridocorneal Endothelial Syndrome
C535537	Iris dysplasia hypertelorism deafness
C535541	Isobutyryl-CoA dehydrogenase deficiency
D021865	Isosporiasis
C537559	Jackson-Weiss syndrome
D054868	Jacobsen Distal 11q Deletion Syndrome
C537564	Jansen type metaphyseal chondrodysplasia
C537565	Jarcho-Levin syndrome
D007566	Jaundice, Chronic Idiopathic
D029593	Jervell-Lange Nielsen Syndrome
C537571	Jeune syndrome
C535880	Johanson Blizzard syndrome
C535881	Johnson Munson syndrome
C535882	Johnson neuroectodermal syndrome
C537690	Juberg Hayward syndrome
C537694	Jung Wolff Back Stahl syndrome
C537705	Kabuki syndrome
C537706	Kaler Garrity Stern syndrome
D017436	Kallmann Syndrome
C535547	Kantaputra Gorlin syndrome
C537007	Kaposiform Hemangioendothelioma
C537008	Kapur Toriello syndrome
C537013	Kaufman oculocerebrofacial syndrome
C537015	KBG syndrome
D007625	Kearns-Sayre Syndrome
C537020	Kenny-Caffey syndrome, type 2
C537022	Keratitis, hereditary
C536153	Keratoderma palmoplantar spastic paralysis
C536155	Keratolytic winter erythema
C536158	Keratosis follicularis dwarfism cerebral atrophy
C536159	Keratosis Follicularis Spinulosa Decalvans, X-Linked
C537627	Keratosis palmoplantaris with periodontopathia and onychogryposis
C536167	Keutel syndrome
C536883	King Denborough syndrome
D018285	Klatskin Tumor
D017593	Kleine-Levin Syndrome
D007713	Klinefelter Syndrome
D007715	Klippel-Trenaunay-Weber Syndrome
D020232	Kluver-Bucy Syndrome
C537207	Kniest dysplasia
C537208	Kniest like dysplasia lethal
C537209	Knobloch syndrome
C537506	Kozlowski Brown Hardwick syndrome
C538128	Kyphomelic dysplasia
C538135	Ladda Zonana Ramer syndrome
D020192	Lafora Disease
D015624	Lambert-Eaton Myasthenic Syndrome
C538396	Lambert syndrome
D018887	Landau-Kleffner Syndrome
D015826	Langer-Giedion Syndrome
D054752	Langerhans Cell Sarcoma
C537267	Langer mesomelic dysplasia
D046150	Laron Syndrome
C537872	Larsen like syndrome, lethal type
D007815	Larva Migrans
D055092	Laryngomalacia
D007835	Lassa Fever
C537880	Lathosterolosis
C537881	Lattice corneal dystrophy type 1
D007849	Laurence-Moon Syndrome
C535689	Laurin-Sandrow syndrome
D057130	Leber Congenital Amaurosis
D007876	Legionellosis
D007877	Legionnaires' Disease
C548032	Legius syndrome
D007888	Leigh Disease
D007890	Leiomyosarcoma
D007896	Leishmaniasis
D057831	Lemierre Syndrome
C537115	Lenz Majewski hyperostotic dwarfism
D044542	LEOPARD Syndrome
D007918	Leprosy
D007922	Leptospirosis
C537118	Leri pleonosteosis
C537119	Leri-Weil syndrome
D007926	Lesch-Nyhan Syndrome
C537194	Lethal congenital contracture syndrome 1
C535513	Lethal congenital erythroderma
D015471	Leukemia, Basophilic, Acute
D015456	Leukemia, Biphenotypic, Acute
D007943	Leukemia, Hairy Cell
D054066	Leukemia, Large Granular Lymphocytic
D015451	Leukemia, Lymphocytic, Chronic, B-Cell
D015459	Leukemia-Lymphoma, Adult T-Cell
D007946	Leukemia, Mast-Cell
D007948	Leukemia, Monocytic, Acute
D015470	Leukemia, Myeloid, Acute
D054438	Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative
D015479	Leukemia, Myelomonocytic, Acute
D015477	Leukemia, Myelomonocytic, Chronic
D054429	Leukemia, Myelomonocytic, Juvenile
D015467	Leukemia, Neutrophilic, Chronic
D054403	Leukemia, Prolymphocytic, B-Cell
D015461	Leukemia, Prolymphocytic, T-Cell
D015473	Leukemia, Promyelocytic, Acute
D018370	Leukocyte-Adhesion Deficiency Syndrome
C535887	Leukocyte adhesion deficiency type 1
D007966	Leukodystrophy, Metachromatic
C567845	Leukoencephalopathy, Cystic, Without Megalencephaly
D007968	Leukoencephalopathy, Progressive Multifocal
C535889	Leukonychia totalis
D007979	Levocardia
C535892	Lichen planus follicularis
D056929	Liddle Syndrome
D016864	Li-Fraumeni Syndrome
C535903	Limb-mammary syndrome
D052496	Lipodystrophy, Familial Partial
C537027	Lipoid congenital adrenal hyperplasia
D008080	Liposarcoma
D018208	Liposarcoma, Myxoid
D054082	Lissencephaly
D008088	Listeriosis
D017114	Liver Failure, Acute
D008118	Loiasis
C535690	Long-chain acyl-CoA dehydrogenase deficiency
D058247	Loose Anagen Hair Syndrome
C545036	Low Molecular Weight Proteinuria with Hypercalciuria and Nephrocalcinosis
C537037	Lowry Maclean syndrome
C537038	Lowry Wood syndrome
C537723	Lubs X-linked mental retardation syndrome
D017563	Lung Diseases, Interstitial
D008178	Lupus Erythematosus, Cutaneous
D008179	Lupus Erythematosus, Discoid
D008180	Lupus Erythematosus, Systemic
D008193	Lyme Disease
C537727	Lymphangiectasia, pulmonary, congenital
D008201	Lymphangiectasis, Intestinal
D018192	Lymphangioleiomyomatosis
C537710	Lymphedema distichiasis syndrome
C537711	Lymphedema, microcephaly and chorioretinopathy syndrome
D008223	Lymphoma
D018442	Lymphoma, B-Cell, Marginal Zone
D054391	Lymphoma, Extranodal NK-T-Cell
D008224	Lymphoma, Follicular
D016403	Lymphoma, Large B-Cell, Diffuse
D017728	Lymphoma, Large-Cell, Anaplastic
D020522	Lymphoma, Mantle-Cell
D008228	Lymphoma, Non-Hodgkin
D054446	Lymphoma, Primary Cutaneous Anaplastic Large Cell
D054685	Lymphoma, Primary Effusion
D016410	Lymphoma, T-Cell, Cutaneous
D016411	Lymphoma, T-Cell, Peripheral
D008230	Lymphomatoid Granulomatosis
D017731	Lymphomatoid Papulosis
D008232	Lymphoproliferative Disorders
D008260	Macroglossia
D055501	Macrophage Activation Syndrome
C537829	Macrophagic myofasciitis
C537835	Macular dystrophy, retinal, 1, North Carolina type
C535463	Mainzer-Saldino Disease
C537839	Majeed syndrome
D008288	Malaria
C537840	Mal de debarquement
C536297	Male sterility due to Y-chromosome deletions
D054853	Malignant Atrophic Papulosis
D008305	Malignant Hyperthermia
C535702	Malonic aciduria
C535705	Mandibuloacral dysplasia with type A lipodystrophy
C535706	Mandibuloacral dysplasia with type B lipodystrophy
D008342	Mandibulofacial Dysostosis
D008375	Maple Syrup Urine Disease
D054319	Marchiafava-Bignami Disease
C535910	Marden-Walker syndrome
D008382	Marfan Syndrome
C535912	Marie Unna congenital hypotrichosis
C536026	Marshall-Smith syndrome
C536025	Marshall syndrome
C536029	MASA (Mental Retardation, Aphasia, Shuffling Gait, Adducted Thumbs) Syndrome
C536030	MASS syndrome
D012515	Mast-Cell Sarcoma
D054705	Mastocytoma, Skin
D008415	Mastocytosis
D034701	Mastocytosis, Cutaneous
D034721	Mastocytosis, Systemic
C538158	McDonough syndrome
C538159	McKusick Kaufman syndrome
D008471	Meconium Aspiration Syndrome
C536136	Mediastinal Fibrosis
C536038	Medium chain acyl CoA dehydrogenase deficiency
D007691	Medullary Sponge Kidney
D008527	Medulloblastoma
C537451	MEHMO syndrome
C538012	Meier-Gorlin syndrome
D008538	Meige Syndrome
D017241	MELAS Syndrome
C537238	Melhem Fahl syndrome
D008554	Melioidosis
D008556	Melkersson-Rosenthal Syndrome
D008557	Melorheostosis
D008579	Meningioma
D008585	Meningitis, Meningococcal
D008586	Meningitis, Pneumococcal
D008588	Meningocele
C537457	Mental retardation-hypotonic facies syndrome, x-linked, 1
C537450	Mental retardation X-linked, South African type
C537449	Mental retardation X-linked syndromic 7
D017243	MERRF Syndrome
C537349	Mesomelic dwarfism Reinhardt Pfeiffer type
D008654	Mesothelioma
D008659	Metabolic Diseases
D008661	Metabolism, Inborn Errors
C537350	Metaphyseal acroscyphodysplasia
C537351	Metaphyseal anadysplasia
C537352	Metaphyseal chondrodysplasia Schmid type
C537353	Metaphyseal chondrodysplasia Spahr type
C537356	Metatropic dwarfism
C537359	Methylmalonic acidemia with homocystinuria
C537360	Methylmalonic aciduria cblA type
C537361	Methylmalonic aciduria cblB type
D054078	Mevalonate Kinase Deficiency
C537575	Michelin tire baby syndrome
C537321	Microcephalic primordial dwarfism Toriello type
C537322	Microcephaly albinism digital anomalies syndrome
C537323	Microcephaly autosomal dominant
C537325	Microcephaly cervical spine fusion anomalies
C537544	Microcephaly seizures mental retardation heart disorders
C537550	Microcoria, congenital
C537552	Microcornea, glaucoma, and absent frontal sinuses
C537554	Microgastria limb reduction defect
C537465	Microphthalmia, syndromic 2
D055953	Microscopic Polyangiitis
D016881	Microsporidiosis
D008882	Mikulicz' Disease
D019846	Miller Fisher Syndrome
D043204	Mineralocorticoid Excess Syndrome, Apparent
D028361	Mitochondrial Diseases
D017240	Mitochondrial Myopathies
C537476	Mitochondrial myopathy with lactic acidosis
D008947	Mixed Connective Tissue Disease
C537480	Miyoshi myopathy
D020331	Mobius Syndrome
C535808	Mohr-Tranebjaerg syndrome
D056734	Monilethrix
C535914	Mononen Karnes Senac syndrome
C538482	Monosomy 5p
C536984	MORM syndrome
C536987	Mosaic variegated aneuploidy syndrome
D016472	Motor Neuron Disease
C536988	Motor neuropathy peripheral with dysautonomia
C536990	Mowat-Wilson syndrome
D009072	Moyamoya Disease
C536991	Moyamoya disease 1
D009081	Mucolipidoses
C538602	Mucolipidosis 2
D009083	Mucopolysaccharidoses
D008059	Mucopolysaccharidosis I
D016532	Mucopolysaccharidosis II
D009084	Mucopolysaccharidosis III
D009085	Mucopolysaccharidosis IV
D009087	Mucopolysaccharidosis VI
D016538	Mucopolysaccharidosis VII
D009091	Mucormycosis
C537369	Muenke Syndrome
D055653	Muir-Torre Syndrome
D050336	Mulibrey Nanism
C537371	Mullerian aplasia
D021782	Multicystic Dysplastic Kidney
C537373	Multicystic renal dysplasia, bilateral
D009100	Multiple Carboxylase Deficiency
D018761	Multiple Endocrine Neoplasia Type 1
D018813	Multiple Endocrine Neoplasia Type 2a
D018814	Multiple Endocrine Neoplasia Type 2b
D009101	Multiple Myeloma
D019578	Multiple System Atrophy
D009135	Muscular Diseases
D009136	Muscular Dystrophies
D049288	Muscular Dystrophies, Limb-Girdle
D020388	Muscular Dystrophy, Duchenne
D020389	Muscular Dystrophy, Emery-Dreifuss
D039141	Muscular Dystrophy, Oculopharyngeal
D009157	Myasthenia Gravis
D020294	Myasthenic Syndromes, Congenital
D008271	Mycetoma
D054437	Myelodysplastic-Myeloproliferative Diseases
D009190	Myelodysplastic Syndromes
D009196	Myeloproliferative Disorders
C535507	MYH9-Related Disorders
D009198	Myiasis
C536096	Myoclonic dystonia
D020191	Myoclonic Epilepsies, Progressive
D020190	Myoclonic Epilepsy, Juvenile
D017696	Myopathies, Nemaline
C536101	Myopathy with lactic acidosis and sideroblastic anemia
D009221	Myositis Ossificans
D020967	Myotonic Disorders
D009223	Myotonic Dystrophy
D009261	Nail-Patella Syndrome
C538335	Nakamura Osame syndrome
C538336	Nance-Horan syndrome
D009290	Narcolepsy
C538342	Nathalie syndrome
C538343	Native American myopathy
C538346	Naxos disease
D058252	Necrobiotic Xanthogranuloma
D009347	Nelson Syndrome
C536394	Neonatal hemochromatosis
D009394	Nephritis, Hereditary
D018201	Nephroma, Mesoblastic
C536401	Nephropathy deafness hyperparathyroidism
C535761	Nephrosis, congenital
C536402	Nephrosis deafness urinary tract digital malformation
C536407	Neuhauser Eichner Opitz syndrome
C536405	Neu Laxova syndrome
C536408	Neural crest tumor
D009436	Neural Tube Defects
C536411	Neuraminidase deficiency with beta-galactosidase deficiency
D009447	Neuroblastoma
C537387	Neurocutaneous melanosis
C538421	Neurodegeneration with brain iron accumulation (NBIA)
C537388	Neurofaciodigitorenal syndrome
C548080	Neuroferritinopathy
D009456	Neurofibromatosis 1
D016518	Neurofibromatosis 2
C537393	Neurofibromatosis-Noonan syndrome
D009459	Neuroleptic Malignant Syndrome
D009464	Neuroma, Acoustic
D009468	Neuromuscular Diseases
D020511	Neuromuscular Junction Diseases
D009471	Neuromyelitis Optica
D009472	Neuronal Ceroid-Lipofuscinoses
C537394	Neuronal intestinal pseudoobstruction
C537395	Neuronal intranuclear inclusion disease
C535716	Neuropathy, hereditary motor and sensory, LOM type
C535717	Neuropathy, hereditary motor and sensory, Okinawa type
C537592	Neutropenia, Severe Congenital, Autosomal Recessive 3
C536113	Nevo syndrome
D054000	Nevus, Sebaceous of Jadassohn
D052536	Niemann-Pick Disease, Type A
D052537	Niemann-Pick Disease, Type B
D052556	Niemann-Pick Disease, Type C
C536122	Night blindness, congenital stationary
D049932	Nijmegen Breakage Syndrome
C536943	NOG-Related-Symphalangism Spectrum Disorder
D009625	Noma
C536246	Noninsulin-dependent diabetes mellitus with deafness
D009634	Noonan Syndrome
C537848	Norman Roberts lissencephaly syndrome
C537849	Norrie disease
C536108	N syndrome
C537860	Occipital horn syndrome
C537862	Ochronosis, hereditary
C537863	Ocular Albinism type 1
C537866	Oculocerebral hypopigmentation syndrome type Preus
C538088	Oculocerebrocutaneous syndrome
D009800	Oculocerebrorenal Syndrome
C537729	Oculocutaneous albinism type 1B
C537730	Oculocutaneous albinism type 2
C537732	Oculodental syndrome Rutherfurd syndrome
C537736	Oculomaxillofacial dysostosis
C537741	Odontomicronychial dysplasia
C537742	Odontoonychodermal dysplasia
C537743	Oguchi disease
C537747	Omphalocele cleft palate syndrome lethal
D009855	Onchocerciasis
D015827	Onchocerciasis, Ocular
D009879	Ophthalmia, Sympathetic
C531833	Ophthalmoplegia, painful
C537923	Opitz-Kaveggia syndrome
C537122	Opsismodysplasia
D053578	Opsoclonus-Myoclonus Syndrome
C537128	Optic atrophy and cataract, autosomal dominant
D029241	Optic Atrophy, Autosomal Dominant
C538585	Oral-facial-digital syndrome, type 2
D020163	Ornithine Carbamoyltransferase Deficiency Disease
C548034	Orofaciodigital Syndrome 12
C548035	Orofaciodigital Syndrome 13
C537136	Oroticaciduria 1
C537138	Oslam syndrome
D010004	Osteoarthropathy, Primary Hypertrophic
D018215	Osteoblastoma
D010008	Osteochondritis Dissecans
D010013	Osteogenesis Imperfecta
C537558	Osteogenesis imperfecta congenita, microcephaly, and cataracts
C536044	Osteogenesis imperfecta, type 3
C536050	Osteoglophonic dwarfism
C536051	Osteolysis hereditary multicentric
C536053	Osteopathia striata cranial sclerosis
D010022	Osteopetrosis
C536056	Osteopetrosis autosomal dominant type 1
C536058	Osteopetrosis with renal tubular acidosis
C536061	Osteopoikilosis and dacryocystitis
C536063	Osteoporosis-pseudoglioma syndrome
D012516	Osteosarcoma
C536064	Osteosclerosis with ichthyosis and premature ovarian failure
C538089	Oto-palato-digital syndrome, type 2
D016471	Ovarian Hyperstimulation Syndrome
D050090	Ovotesticular Disorders of Sex Development
D053549	Pachyonychia Congenita
C538095	Pacman dysplasia
D010145	Paget Disease, Extramammary
D056267	Pagetoid Reticulosis
D010144	Paget's Disease, Mammary
D000699	Pain Insensitivity, Congenital
D054975	Pallister-Hall Syndrome
C536152	Palmoplantar Keratoderma with Deafness
C538110	Pancreatic adenoma
C535837	Pancreatic carcinoma, familial
D010190	Pancreatic Neoplasms
C537162	Pancreatoblastoma
D015435	Panniculitis, Lupus Erythematosus
D010201	Panniculitis, Nodular Nonsuppurative
D006211	Pantothenate Kinase-Associated Neurodegeneration
C538614	Papillary renal cell carcinoma, sporadic
D020288	Papilloma, Choroid Plexus
D010214	Papillon-Lefevre Disease
D010229	Paracoccidioidomycosis
D010245	Paralyses, Familial Periodic
D020513	Paralysis, Hyperkalemic Periodic
C537172	Parastremmatic dwarfism
C537174	PARC syndrome
D051302	Paroxysmal Hemicrania
C537181	Paroxysmal nonkinesigenic dyskinesia
C536112	Partial atrioventricular canal
C538036	Partial Duplication 15q Syndrome
C536299	Partington Anderson syndrome
C536307	Patella aplasia, coxa vara, tarsal synostosis
C536309	Patterned dystrophy of retinal pigment epithelium
C536310	Patterson pseudoleprechaunism syndrome
C536317	PEHO syndrome
D020371	Pelizaeus-Merzbacher Disease
D010383	Pellagra
C535548	Pelvic dysplasia arthrogryposis of lower limbs
C535550	Pelviscapular dysplasia
D010391	Pemphigoid, Bullous
D006559	Pemphigoid Gestationis
C536648	Pendred syndrome
C536649	Penis agenesis
C536650	Penoscrotal transposition
D058502	Pentalogy of Cantrell
C536652	Pentosuria
C538604	Pericardial constriction with growth failure
D054091	Periventricular Nodular Heterotopia
C536662	Peroxisomal ACYL-COA oxidase deficiency
D018901	Peroxisomal Disorders
C536664	Peroxisome biogenesis disorders
D054514	Persistent Hyperplastic Primary Vitreous
C536665	Persistent Mullerian duct syndrome
C537884	Peters anomaly
D010580	Peutz-Jeghers Syndrome
C537889	Pfeiffer Palm Teller syndrome
C538582	Pfeiffer type acrocephalosyndactyly
C537893	Phacomatosis pigmentokeratotica
D010661	Phenylketonurias
C536654	Phosphoenolpyruvate carboxykinase deficiency
D003557	Phyllodes Tumor
D016116	Piebaldism
C537185	Pierson syndrome
C537187	Pili annulati
C537398	Pili torti developmental delay neurological abnormalities
C537399	Pili torti onychodysplasia
D018296	Pilomatrixoma
C537403	Pitt-Hopkins syndrome
D047748	Pituitary ACTH Hypersecretion
D010899	Pituitary Apoplexy
D010916	Pityriasis Rubra Pilaris
C537511	Piussan Lenaerts Mathieu syndrome
D010930	Plague
D010954	Plasmacytoma
C537516	Pleuropulmonary blastoma
D011004	Plummer-Vinson Syndrome
D011009	Pneumoconiosis
D016878	POEMS Syndrome
C536321	Poikiloderma of Kindler
D011045	Poland Syndrome
D011051	Poliomyelitis
D010488	Polyarteritis Nodosa
D011081	Polychondritis, Relapsing
D017044	Polycystic Kidney, Autosomal Recessive
C536329	Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy
C536330	Polycystic liver disease
D011086	Polycythemia
D011087	Polycythemia Vera
D017689	Polydactyly
D017285	Polymyositis
C536335	Polyostotic osteolytic dysplasia, hereditary expansile
D011123	Polyploidy
C548069	Pontocerebellar Hypoplasia Type 1
C548070	Pontocerebellar Hypoplasia Type 2
C548072	Pontocerebellar Hypoplasia Type 3
C548074	Pontocerebellar Hypoplasia Type 6
D017499	Porokeratosis
D017118	Porphyria, Acute Intermittent
D017119	Porphyria Cutanea Tarda
D017121	Porphyria, Hepatoerythropoietic
D011164	Porphyrias
D019339	Port-Wine Stain
C536343	Posterior column ataxia with retinitis pigmentosa
C538353	Potassium aggravated myotonia
C538356	Potocki-Shaffer syndrome
D019449	Pouchitis
D011218	Prader-Willi Syndrome
C538278	Preaxial deficiency, postaxial polydactyly and hypospadias
C535276	Primary angiitis of the central nervous system
C536414	Primary hyperoxaluria type 1
C536416	Primary lateral sclerosis juvenile
C536418	Primary orthostatic tremor
D057178	Primary Progressive Nonfluent Aphasia
D011371	Progeria
C536422	Progeria short stature pigmented nevi
C536423	Progeroid syndrome, neonatal
C537240	Progressive supranuclear palsy atypical
D015175	Prolactinoma
D056732	Prolidase Deficiency
C537241	Properdin deficiency, X-linked
D056693	Propionic Acidemia
C538052	Propping Zerres syndrome
C537243	Prostate cancer, familial
D016715	Proteus Syndrome
D046351	Protoporphyria, Erythropoietic
D011535	Prune Belly Syndrome
C535817	Pruritic urticarial papules plaques of pregnancy
C535819	Pseudoachondroplasia
C535826	Pseudodiastrophic dysplasia
D011546	Pseudohypoaldosteronism
D011547	Pseudohypoparathyroidism
C548075	Pseudohypoparathyroidism Type 1B
C548076	Pseudohypoparathyroidism Type 1C
C548077	Pseudohypoparathyroidism Type 2
D011553	Pseudomyxoma Peritonei
D011556	Pseudopseudohypoparathyroidism
D011561	Pseudoxanthoma Elasticum
C535818	Pseudo-Zellweger syndrome
D011629	Puberty, Precocious
D060545	Pudendal Neuralgia
D018202	Pulmonary Blastoma
D011666	Pulmonary Valve Stenosis
D011668	Pulmonary Veno-Occlusive Disease
D054970	Pure Autonomic Failure
D011686	Purine-Pyrimidine Metabolism, Inborn Errors
D055665	Purpura Fulminans
D016553	Purpura, Thrombocytopenic, Idiopathic
D011697	Purpura, Thrombotic Thrombocytopenic
D058631	Pycnodysostosis
C536251	Pyknoachondrogenesis
C536252	Pyle disease
D017511	Pyoderma Gangrenosum
C536253	Pyogenic arthritis, pyoderma gangrenosum, and acne
D052880	Pyomyositis
C536254	Pyridoxine-dependent epilepsy
D015324	Pyruvate Carboxylase Deficiency Disease
D015325	Pyruvate Dehydrogenase Complex Deficiency Disease
C536258	Pyruvate dehydrogenase phosphatase deficiency
C536259	Qazi Markouizos syndrome
D011778	Q Fever
C536260	Quebec platelet disorder
D011818	Rabies
C536267	Radio renal syndrome
C536270	Radioulnar synostosis retinal pigment abnormalities
C535281	Radius absent anogenital anomalies
C535283	Rambaud Galian syndrome
C535285	Ramon Syndrome
C535288	Rapadilino syndrome
C535289	Rapp-Hodgkin syndrome
C535290	Rasmussen Johnsen Thomsen syndrome
C535291	Rasmussen subacute encephalitis
D011906	Rat-Bite Fever
C535292	Ray Peterson Scott syndrome
C535297	Recurrent respiratory papillomatosis
D012035	Refsum Disease
D052919	Refsum Disease, Infantile
D012061	Relapsing Fever
C535520	Renal cysts and diabetes syndrome
D059228	Renal Nutcracker Syndrome
C538361	Reticular dysgenesis
D058499	Retinal Dystrophies
D058456	Retinal Telangiectasis
D012174	Retinitis Pigmentosa
D012175	Retinoblastoma
D012178	Retinopathy of Prematurity
D012185	Retroperitoneal Fibrosis
D015518	Rett Syndrome
D012202	Reye Syndrome
D018335	Rhabdoid Tumor
D012208	Rhabdomyosarcoma
D018232	Rhabdomyosarcoma, Alveolar
D018233	Rhabdomyosarcoma, Embryonal
D012213	Rheumatic Fever
C537609	Rhizomelic dysplasia Patterson Lowry type
C537611	Rhizomelic syndrome
C537612	RHYNS syndrome
C535674	Richards-Rundle syndrome
C535675	Richieri Costa Da Silva syndrome
C535677	Richieri Costa Pereira syndrome
C535683	Rigid spine syndrome
C535487	Ring Chromosome 14 Syndrome
C537636	Ring chromosome 4 syndrome
C535684	Ring dermoid of cornea
C535687	Roberts Syndrome
C537183	Robinow Sorauf syndrome
C535863	Robinow syndrome, autosomal recessive
C535688	Robin sequence and oligodactyly
D012373	Rocky Mountain Spotted Fever
D029597	Romano-Ward Syndrome
C535870	Rombo syndrome
D011038	Rothmund-Thomson Syndrome
D012410	Rubella Syndrome, Congenital
D012415	Rubinstein-Taybi Syndrome
C535878	Rud Syndrome
C537189	Rufous oculocutaneous albinism
C536320	Sabinas brittle hair syndrome
C537218	Saccharopinuria
D012497	Sandhoff Disease
C537234	Sandifer syndrome
D012523	Sarcocystosis
D012507	Sarcoidosis
D018234	Sarcoma, Alveolar Soft Part
D018203	Sarcoma, Endometrial Stromal
D012514	Sarcoma, Kaposi
D023981	Sarcoma, Myeloid
C537236	Sarcosinemia
C536616	Satoyoshi syndrome
C536618	Say Barber Miller syndrome
C536622	Scalp defects postaxial polydactyly
C536623	Scalp ear nipple syndrome
C536625	SCARF syndrome
C536629	Schimke immunoosseous dysplasia
C536630	Schimke X-linked mental retardation syndrome
C536633	Schisis association
D012552	Schistosomiasis
C535918	Schmid-Fraccaro syndrome
C536637	Schneckenbecken dysplasia
D019873	Schnitzler Syndrome
C536641	Schwannomatosis
D012587	Scimitar Syndrome
D012594	Scleroderma, Localized
D053718	Scleromyxedema
C537525	Sclerosteosis
D012612	Scrub Typhus
C537533	Seckel syndrome 1
C537536	Seemanova Lesny syndrome
C537580	Senior Loken Syndrome
C537197	Sensorimotor neuropathy with ataxia, autosomal dominant
C537583	Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis
D025962	Septo-Optic Dysplasia
D020230	Serotonin Syndrome
C537586	Serpentine fibula polycystic kidney syndrome
D045169	Severe Acute Respiratory Syndrome
D016511	Severe Combined Immunodeficiency
C531816	Severe combined immunodeficiency due to adenosine deaminase deficiency
D012751	Sezary Syndrome
D012778	Short Bowel Syndrome
C537596	Short chain Acyl CoA dehydrogenase deficiency
D012779	Short Rib-Polydactyly Syndrome
C537602	Short rib-polydactyly syndrome, Verma-Naumoff type
C537121	Short stature syndrome, Brussels type
C537327	SHORT syndrome
C537328	Shprintzen Golberg craniosynostosis
C537332	Sialuria, French type
D012804	Sick Sinus Syndrome
C537333	Siderius X-linked mental retardation syndrome
C537335	Siegler Brewer Carey syndrome
C537338	Sillence syndrome
D056730	Silver-Russell Syndrome
C537340	Simpson-Golabi-Behmel syndrome
C537345	Sitosterolemia
D016111	Sjogren-Larsson Syndrome
D017445	Skin Diseases, Vascular
D012893	Sleep Wake Disorders
D019082	Smith-Lemli-Opitz Syndrome
D058496	Smith-Magenis Syndrome
D018860	Sneddon Syndrome
C536677	Snowflake vitreoretinal degeneration
D013005	Somatostatinoma
D058495	Sotos Syndrome
C536787	Spastic ataxia Charlevoix-Saguenay type
C537482	Spastic paraplegia 10, autosomal dominant
C537483	Spastic paraplegia 11, autosomal recessive
C537484	Spastic paraplegia 12, autosomal dominant
C537485	Spastic paraplegia 13, autosomal dominant
C537486	Spastic paraplegia 14, autosomal recessive
C536642	Spastic paraplegia 15, autosomal recessive
C536643	Spastic paraplegia 16, X-linked
C536856	Spastic paraplegia 19, autosomal dominant
C536861	Spastic paraplegia 25, autosomal recessive
C536862	Spastic paraplegia 26, autosomal recessive
C536863	Spastic paraplegia 29, autosomal dominant
C536857	Spastic paraplegia 2, X-linked
C536864	Spastic paraplegia 3, autosomal dominant
C536865	Spastic paraplegia 4, autosomal dominant
C536866	Spastic paraplegia 6, autosomal dominant
C536870	Spastic paraplegia neuropathy poikiloderma
C536871	Spastic paraplegia type 5A, recessive
C536874	Spastic paraplegia with precocious puberty
D013103	Spherocytosis, Hereditary
D013106	Sphingolipidoses
D016135	Spinal Dysraphism
C537195	Spinocerebellar ataxia 13
C537196	Spinocerebellar ataxia 14
C537198	Spinocerebellar ataxia 19
C537199	Spinocerebellar ataxia 20
C537200	Spinocerebellar ataxia 21
C542540	Spinocerebellar ataxia 22
C537201	Spinocerebellar ataxia 23
C537202	Spinocerebellar ataxia 25
C537203	Spinocerebellar ataxia 26
C537204	Spinocerebellar ataxia 27
C537205	Spinocerebellar ataxia 28
C537206	Spinocerebellar Ataxia 29
C537307	Spinocerebellar ataxia 8
C537315	Spinocerebellar ataxia, X-linked, 3
C537316	Spinocerebellar ataxia, X-linked, 4
C537319	Split hand split foot nystagmus
C535779	Spondylocamptodactyly
C535781	Spondylocostal dysostosis, autosomal recessive
C535782	Spondyloenchondrodysplasia
C535785	Spondyloepimetaphyseal dysplasia, Genevieve type
C535783	Spondyloepimetaphyseal dysplasia with hypotrichosis
C535784	Spondyloepimetaphyseal dysplasia with multiple dislocations
C535788	Spondyloepiphyseal dysplasia, congenita
C535789	Spondyloepiphyseal dysplasia, Omani type
C535795	Spondylometaphyseal dysplasia, axial
C535793	Spondylometaphyseal dysplasia, 'corner fracture' type
C535797	Spondylometaphyseal dysplasia, Kozlowski type
C535798	Spondylometaphyseal dysplasia, Sedaghatian type
C535791	Spondylometaphyseal dysplasia with bowed forearms and facial dysmorphism
C535799	Spondyloperipheral dysplasia short ulna
D013174	Sporotrichosis
C535802	Sprengel deformity
D013206	Staphylococcal Scalded Skin Syndrome
C537487	Steatocystoma multiplex with natal teeth
C537489	Sternal cleft
C537488	Stern Lubinsky Durrie syndrome
D013262	Stevens-Johnson Syndrome
C537492	Stickler syndrome, type 1
C537493	Stickler syndrome, type 2
C537494	Stickler syndrome, type 3
D016706	Still's Disease, Adult-Onset
